address,name,category,status,file,notes
0x8001bc90,s_VIEW_CHANGE_8001bc90,string_data,MATCHED,,
0x8001bc9c,s_ACCELERATOR_8001bc9c,string_data,MATCHED,,
0x8001bca8,s_REVERS_8001bca8,string_data,MATCHED,,
0x8001bcb0,DAT_8001bcb0,game,TODO,,
0x8001bcb4,DAT_8001bcb4,game,TODO,,
0x8001bcb8,DAT_8001bcb8,game,TODO,,
0x8001bcbc,DAT_8001bcbc,game,TODO,,
0x8001bcc0,DAT_8001bcc0,game,TODO,,
0x8001bcc4,DAT_8001bcc4,game,TODO,,
0x8001bcc8,DAT_8001bcc8,game,TODO,,
0x8001bccc,DAT_8001bccc,game,TODO,,
0x8001bcd4,DAT_8001bcd4,game,TODO,,
0x8001bcdc,DAT_8001bcdc,game,TODO,,
0x8001bce4,DAT_8001bce4,game,TODO,,
0x8001bcec,DAT_8001bcec,game,TODO,,
0x8001bcf0,DAT_8001bcf0,game,TODO,,
0x8001bcf4,DAT_8001bcf4,game,TODO,,
0x8001bcf8,DAT_8001bcf8,game,TODO,,
0x8001bcfc,DAT_8001bcfc,game,TODO,,
0x8001bd00,DAT_8001bd00,game,TODO,,
0x8001bd04,DAT_8001bd04,game,TODO,,
0x8001bd08,DAT_8001bd08,game,TODO,,
0x8001bd0c,DAT_8001bd0c,game,TODO,,
0x8001bd10,DAT_8001bd10,game,TODO,,
0x8001bd14,DAT_8001bd14,game,TODO,,
0x8001bd18,DAT_8001bd18,game,TODO,,
0x8001bd1c,DAT_8001bd1c,game,TODO,,
0x8001bd20,DAT_8001bd20,game,TODO,,
0x8001bd24,DAT_8001bd24,game,TODO,,
0x8001bd28,DAT_8001bd28,game,TODO,,
0x8001bd2c,DAT_8001bd2c,game,TODO,,
0x8001bd30,DAT_8001bd30,game,TODO,,
0x8001bd34,DAT_8001bd34,game,TODO,,
0x8001bd38,DAT_8001bd38,game,TODO,,
0x8001bd3c,DAT_8001bd3c,game,TODO,,
0x8001bd40,DAT_8001bd40,game,TODO,,
0x8001bd4c,DAT_8001bd4c,game,TODO,,
0x8001bd50,DAT_8001bd50,game,TODO,,
0x8001bd54,DAT_8001bd54,game,TODO,,
0x8001bd58,DAT_8001bd58,game,TODO,,
0x8001bd78,DAT_8001bd78,game,TODO,,
0x8001bd7c,DAT_8001bd7c,game,TODO,,
0x8001bd80,DAT_8001bd80,game,TODO,,
0x8001bd84,DAT_8001bd84,game,TODO,,
0x8001bd9c,DAT_8001bd9c,game,TODO,,
0x8001bda0,DAT_8001bda0,game,TODO,,
0x8001bda4,DAT_8001bda4,game,TODO,,
0x8001bda8,DAT_8001bda8,game,TODO,,
0x8001bdf4,s_CANCEL_8001bdf4,string_data,MATCHED,,
0x8001bdfc,s_PAUSE_8001bdfc,string_data,MATCHED,,
0x8001be24,s_REPLAY_8001be24,string_data,MATCHED,,
0x8001be2c,DAT_8001be2c,game,TODO,,
0x8001be30,DAT_8001be30,game,TODO,,
0x8001be34,DAT_8001be34,game,TODO,,
0x8001be38,DAT_8001be38,game,TODO,,
0x8001be3c,s_PLAYER_8001be3c,string_data,MATCHED,,
0x8001be44,s_RESULT_8001be44,string_data,MATCHED,,
0x8001be84,PTR_LAB_8001be84,game,TODO,,
0x8001bec8,PTR_LAB_8001bec8,game,TODO,,
0x8001bf1c,PTR_LAB_8001bf1c,game,TODO,,
0x8001bf34,PTR_LAB_8001bf34,game,TODO,,
0x8001bf4c,DAT_8001bf4c,game,TODO,,
0x8001bf64,PTR_LAB_8001bf64,game,TODO,,
0x8001bf90,DAT_8001bf90,game,TODO,,
0x8001bf94,DAT_8001bf94,game,TODO,,
0x8001bf98,DAT_8001bf98,game,TODO,,
0x8001bf9c,DAT_8001bf9c,game,TODO,,
0x8001bfa0,s_REVERSE_8001bfa0,string_data,MATCHED,,
0x8001bff8,PTR_LAB_8001bff8,game,TODO,,
0x8001c00c,DAT_8001c00c,game,TODO,,
0x8001c594,DAT_8001c594,game,TODO,,
0x8001c6ec,s_JZZ30_GARAGE_FUKUI_8001c6ec,string_data,MATCHED,,
0x8001c704,s_Z32_VEILSIDE_8001c704,string_data,MATCHED,,
0x8001c718,s_SXE10_AMUSE_8001c718,string_data,MATCHED,,
0x8001c72c,s_SW20_GARAGE_FUKUI_8001c72c,string_data,MATCHED,,
0x8001c744,s_S15_JUN_8001c744,string_data,MATCHED,,
0x8001c754,s_S14_TOP_SECRET_8001c754,string_data,MATCHED,,
0x8001c76c,s_PS13_AUTOSELECT_8001c76c,string_data,MATCHED,,
